marca,modelo,ano,km,preco_numerico,consumo_urbano_km_l,consumo_estrada_km_l,custo_manutencao_anual,confiabilidade,tipo_veiculo_classificado,segmento,codigoFipe,mesReferencia,anoReferencia
ASTON MARTIN,DB9 Coupe 6.0 V12 510cv,2016,140851,1214019.0,11.9,14.1,4916,6.2,Hatchback,Premium,085011-0,2,2021
ASTON MARTIN,DB9 Coupe 6.0 V12 510cv,2022,28327,1390000.0,11.3,14.0,3056,6.5,Hatchback,Premium,085011-0,7,2015
ASTON MARTIN,DB9 Volante 6.0 V12 470cv,2011,168926,528619.0,13.7,16.1,3792,7.4,Hatchback,Premium,085006-3,8,2018
ASTON MARTIN,DB9 Volante 6.0 V12 470cv,2022,27964,837323.0,12.0,15.7,4844,6.2,Hatchback,Premium,085006-3,7,2014
ASTON MARTIN,Rapide 6.0 V12 477cv,2012,191321,819187.0,13.1,14.4,4326,7.9,Hatchback,Premium,085007-1,8,2017
ASTON MARTIN,Rapide 6.0 V12 477cv,2022,30119,1102075.0,13.0,17.0,3640,6.7,Hatchback,Premium,085007-1,3,2014
ASTON MARTIN,Rapide S 6.0 V12 550cv,2016,129626,1427698.0,13.6,15.9,3524,6.6,Hatchback,Premium,085009-8,8,2022
ASTON MARTIN,Rapide S 6.0 V12 550cv,2022,27804,1843452.0,12.2,15.8,3580,7.4,Hatchback,Premium,085009-8,9,2017
ASTON MARTIN,Vanquish V12 6.0 565cv,2016,113914,1807163.0,12.0,15.6,3426,7.1,Hatchback,Premium,085010-1,2,2022
ASTON MARTIN,Vanquish V12 6.0 565cv,2022,28769,1850000.0,13.9,14.9,3899,7.7,Hatchback,Premium,085010-1,5,2015
ASTON MARTIN,Vantage 6.0 V12 510cv,2012,193096,725883.0,12.0,15.6,3158,6.3,Hatchback,Premium,085004-7,7,2015
ASTON MARTIN,Vantage 6.0 V12 510cv,2022,27000,841032.0,13.5,16.0,4243,6.4,Hatchback,Premium,085004-7,6,2014
ASTON MARTIN,Vantage Coupe 4.7 V8 425cv,2016,98855,631226.0,11.2,14.8,3979,6.9,Hatchback,Premium,085002-0,9,2020
